WHILE
MEANWHILE
CONCURRENTLY
MEANTIME
SIMULTANEOUSLIY
WHEREAS
IN PARALLEL OF THIS
IN PARALLEL
IN THE MEANTIME
IN ADDITION TO
AT THE SAME TIME
